,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,trip_type,congestion_surcharge,taxi_type
179,2023-01-01 02:43:52,2023-01-01 03:01:20,129,56,2.0,2.36,17.0,1.0,0.5,0.0,0.0,,19.5,2.0,1.0,0.0,green_taxi
180,2023-01-01 02:37:18,2023-01-01 03:21:07,82,129,2.0,6.16,40.8,1.0,0.5,0.0,0.0,,43.3,2.0,1.0,0.0,green_taxi
181,2023-01-01 02:17:46,2023-01-01 02:32:48,173,223,2.0,5.87,25.4,1.0,0.5,0.0,0.0,,27.9,2.0,1.0,0.0,green_taxi
182,2023-01-01 02:53:40,2023-01-01 03:13:09,255,90,1.0,4.84,80.0,0.0,0.0,1.0,6.55,,91.3,1.0,2.0,2.75,green_taxi
183,2023-01-01 02:10:04,2023-01-01 02:14:09,260,260,5.0,0.55,5.8,1.0,0.5,0.0,0.0,,8.3,2.0,1.0,0.0,green_taxi
184,2023-01-01 02:06:11,2023-01-01 02:16:20,181,17,5.0,2.11,12.8,1.0,0.5,3.82,0.0,,19.12,1.0,1.0,0.0,green_taxi
185,2023-01-01 02:09:48,2023-01-01 02:11:34,223,223,1.0,0.0,110.0,0.0,0.0,0.0,0.0,,111.0,2.0,2.0,0.0,green_taxi
186,2023-01-01 03:01:54,2023-01-01 03:01:56,129,264,1.0,0.0,12.0,0.0,0.0,0.0,0.0,,13.0,1.0,2.0,0.0,green_taxi
187,2023-01-01 03:04:05,2023-01-01 03:18:01,129,7,1.0,2.37,14.9,1.0,0.5,0.0,0.0,,17.4,2.0,1.0,0.0,green_taxi
188,2023-01-01 02:40:06,2023-01-01 03:01:26,112,36,1.0,3.68,21.2,1.0,0.5,2.0,0.0,,25.7,1.0,1.0,0.0,green_taxi
189,2023-01-01 02:10:41,2023-01-01 02:17:43,75,239,1.0,1.53,9.3,1.0,0.5,2.18,0.0,,16.73,1.0,1.0,2.75,green_taxi
190,2023-01-01 02:54:41,2023-01-01 03:03:06,74,42,1.0,1.74,10.7,1.0,0.5,0.0,0.0,,13.2,2.0,1.0,0.0,green_taxi
191,2023-01-01 02:05:09,2023-01-01 02:09:30,52,40,1.0,1.0,5.0,0.5,1.5,0.0,0.0,,7.0,2.0,1.0,0.0,green_taxi
192,2023-01-01 02:16:38,2023-01-01 02:36:18,25,188,1.0,3.0,14.5,0.5,1.5,3.3,0.0,,19.8,1.0,1.0,0.0,green_taxi
193,2023-01-01 02:38:02,2023-01-01 02:38:04,70,70,1.0,0.0,25.0,0.0,0.0,0.0,0.0,,26.0,1.0,2.0,0.0,green_taxi
194,2023-01-01 02:51:13,2023-01-01 03:24:16,82,63,1.0,9.63,43.6,1.0,0.5,0.05,0.0,,46.15,1.0,1.0,0.0,green_taxi
195,2023-01-01 03:00:27,2023-01-01 03:00:54,251,251,1.0,4.9,23.0,1.0,1.0,0.0,6.55,,31.55,2.0,1.0,0.0,green_taxi
196,2023-01-01 03:34:36,2023-01-01 03:50:04,40,249,1.0,4.1,20.5,3.75,1.5,0.0,0.0,,25.75,2.0,1.0,2.75,green_taxi
197,2023-01-01 03:07:46,2023-01-01 03:11:43,42,42,1.0,0.47,5.8,1.0,0.5,0.0,0.0,,8.3,1.0,1.0,0.0,green_taxi
198,2023-01-01 03:06:11,2023-01-01 03:06:41,101,101,1.0,1.3,90.0,0.0,0.0,0.0,0.0,,90.0,3.0,2.0,0.0,green_taxi
199,2023-01-01 03:07:26,2023-01-01 03:07:50,101,101,1.0,1.3,60.0,0.0,0.0,0.0,0.0,,60.0,1.0,2.0,0.0,green_taxi
200,2023-01-01 03:49:14,2023-01-01 04:07:23,129,92,1.0,6.84,30.3,1.0,0.5,0.0,0.0,,32.8,1.0,1.0,0.0,green_taxi
201,2023-01-01 03:04:10,2023-01-01 03:27:55,255,189,1.0,4.32,24.0,1.0,0.5,2.0,0.0,,28.5,1.0,1.0,0.0,green_taxi
202,2023-01-01 03:17:32,2023-01-01 03:49:31,112,43,1.0,11.56,49.2,1.0,0.5,0.0,0.0,,54.45,2.0,1.0,2.75,green_taxi
203,2023-01-01 03:27:37,2023-01-01 03:33:27,75,236,1.0,1.33,8.6,1.0,0.5,1.0,0.0,,14.85,1.0,1.0,2.75,green_taxi
204,2023-01-01 03:34:24,2023-01-01 03:44:12,75,233,1.0,3.57,15.6,1.0,0.5,0.0,0.0,,20.85,1.0,1.0,2.75,green_taxi
205,2023-01-01 03:06:32,2023-01-01 03:19:06,42,153,2.0,5.7,24.7,1.0,0.5,0.0,0.0,,27.2,2.0,1.0,0.0,green_taxi
206,2023-01-01 03:44:18,2023-01-01 03:57:43,116,42,2.0,2.09,14.2,1.0,0.5,0.0,0.0,,16.7,2.0,1.0,0.0,green_taxi
207,2023-01-01 03:12:42,2023-01-02 02:03:43,129,129,1.0,0.72,20.0,0.0,0.0,6.09,0.0,,26.39,1.0,2.0,0.0,green_taxi
208,2023-01-01 03:49:01,2023-01-01 03:50:37,157,157,4.0,0.03,50.0,0.0,0.0,0.0,0.0,,50.3,1.0,2.0,0.0,green_taxi
209,2023-01-01 03:35:44,2023-01-01 04:30:10,82,82,1.0,0.0,40.8,1.0,0.5,0.0,0.0,,43.3,2.0,1.0,0.0,green_taxi
210,2023-01-01 03:21:05,2023-01-01 03:30:44,92,53,1.0,1.85,12.1,1.0,0.5,0.0,0.0,,14.6,2.0,1.0,0.0,green_taxi
211,2023-01-01 03:33:02,2023-01-01 03:53:47,129,57,1.0,2.62,17.7,1.0,0.5,0.0,0.0,,20.2,2.0,1.0,0.0,green_taxi
212,2023-01-01 03:31:58,2023-01-01 03:52:16,36,189,2.0,4.3,16.0,0.5,1.5,4.5,0.0,,22.5,1.0,1.0,0.0,green_taxi
213,2023-01-01 03:08:39,2023-01-01 03:23:32,95,223,1.0,6.74,28.9,1.0,0.5,4.0,0.0,,35.4,1.0,1.0,0.0,green_taxi
214,2023-01-01 03:11:03,2023-01-01 03:11:09,61,61,2.0,0.04,30.0,0.0,0.0,1.0,0.0,,31.3,1.0,2.0,0.0,green_taxi
215,2023-01-01 03:28:59,2023-01-01 03:29:04,33,33,1.0,0.12,30.0,0.0,0.0,6.06,0.0,,36.36,1.0,2.0,0.0,green_taxi
216,2023-01-01 03:07:37,2023-01-01 03:28:25,241,116,3.0,6.78,30.3,1.0,0.5,0.0,0.0,,32.8,2.0,1.0,0.0,green_taxi
217,2023-01-01 04:20:54,2023-01-01 04:34:30,223,193,1.0,2.34,14.9,1.0,0.5,4.35,0.0,,21.75,1.0,1.0,0.0,green_taxi
218,2023-01-01 03:03:35,2023-01-01 03:12:25,82,70,1.0,3.2,14.9,1.0,1.5,2.0,0.0,,19.4,1.0,1.0,0.0,green_taxi
219,2023-01-01 03:26:34,2023-01-01 03:28:49,129,129,1.0,0.0,25.8,0.0,0.0,5.22,0.0,,31.32,1.0,2.0,0.0,green_taxi
220,2023-01-01 03:16:26,2023-01-01 03:44:51,83,82,1.0,3.49,26.1,1.0,0.5,0.0,0.0,,28.6,2.0,1.0,0.0,green_taxi
221,2023-01-01 03:11:11,2023-01-01 03:11:15,256,256,1.0,0.02,35.0,0.0,0.0,0.0,0.0,,35.3,1.0,2.0,0.0,green_taxi
222,2023-01-01 03:06:36,2023-01-01 03:16:39,179,7,1.0,1.62,11.4,1.0,0.5,2.78,0.0,,16.68,1.0,1.0,0.0,green_taxi
223,2023-01-01 03:47:45,2023-01-01 03:59:56,41,179,1.0,4.05,19.8,1.0,0.5,8.66,6.55,,37.51,1.0,1.0,0.0,green_taxi
224,2023-01-01 03:31:30,2023-01-01 04:01:04,256,129,1.0,6.65,35.2,1.0,0.5,0.0,0.0,,37.7,2.0,1.0,0.0,green_taxi
225,2023-01-01 03:34:40,2023-01-01 03:34:45,92,92,3.0,0.0,40.0,0.0,0.0,0.0,0.0,,41.0,1.0,2.0,0.0,green_taxi
226,2023-01-01 02:58:07,2023-01-01 03:04:41,74,75,6.0,1.53,7.0,0.5,0.5,1.66,0.0,,9.96,1.0,1.0,0.0,green_taxi
227,2023-01-01 03:11:48,2023-01-01 03:12:31,7,264,1.0,0.0,12.0,0.0,0.0,2.6,0.0,,15.6,1.0,2.0,0.0,green_taxi
228,2023-01-01 03:19:20,2023-01-01 03:27:36,179,223,2.0,1.28,9.3,1.0,0.5,2.36,0.0,,14.16,1.0,1.0,0.0,green_taxi
229,2023-01-01 03:07:45,2023-01-01 03:21:50,129,226,5.0,2.0,14.9,1.0,0.5,0.0,0.0,,17.4,2.0,1.0,0.0,green_taxi
230,2023-01-01 03:09:41,2023-01-01 03:22:09,129,129,1.0,1.11,11.4,1.0,0.5,0.0,0.0,,13.9,2.0,1.0,0.0,green_taxi
